Title,Rating,Review,Date
"5.0 out of 5 starsNot flagship material,..but now I think it is!",5.0,"This is an updated review :So just moved from S20, which I had for so many years to the new S24. The phone itself is good, everything works fine.. but that's expected. Got the Golden yellow colour and thankfully it's not as flashy as shown in the photos.. this is more of a light cream colour which gives a slight golden shine when seen at particular angles. It's a very decent looking phone.When you use it, the first thing you  notice is that this phone really heats up. It's Samsungs flagship and the heating issue is not limited to just while charging it, even when you use it normally.. the back gets hot. Never faced this with the S20. I feel like am using some cheap Chinese phone...well it won't burn your ear, but yes it's hot enough for one to take note.>>And now after a few more days of usage, the heating issue has disappeared. Even after hours of continuous use it doesn't heat up... not sure what happened.. perhaps some software update.Second is the design. Samsung used to have it's own design team which came up with really innovative stuff.. now they are just copying the iPhone. It literally looks like a Chinese knock off, OK let's give them credit.. it looks like a cheap Korean knock off of the iPhone. Nothing wrong with that, except that if you want to copy then copy something good. Personally the flat edged design is terrible to grasp and feels rigid in the palm. The earlier curved edge ones were so much comfortable to hold. Now you have to hold on to this flat metal frame which heats up.. it's not a pleasant experience. Perhaps they made this for cold weather countries, so you get an inbuilt palm heater with your phone. A phone that keeps your hands warm while in the cold... heaven knows what the designers were thinking!>> Well as I said before the heating issue has gone. As for the shape, I would say it's easier to handle having those flat edges.. it rests easily on the figers while typing etc.. but still you do feel the flat edges when the phone is in your pocket etc.. So the shape is a mixed bag verdict. Personally I prefer smoother edges.The battery drains out fast aswell..  currently it's matching the drainage speed of my old Samsung. Basically you have to have a fast charger around.>> This is the point why I actually decided to edit the review. The phone's software literally optmises battery usage. It continuously adjusts screen brightness levels.. and with time and use, it's getting better at optimising battery performance. For regular usage, with a few hrs of videos and few hrs of games.. it's pulling through the day quiet easily.Honestly I don't know why this phone should cost so much.. for the issues it has, you should easily get a similar cheaper phone in the 20-25k range.>> Doubt it, this phone keeps getting better with usage. Never expected or experienced that before.Camera haven't yet used. My old S20 used to give some amazing results and have used it a lot with manual settings aswell. Wonder if the S24 will be better there.I think I might switch back to the S20.>> Camera still not used to potential. Basic shots are very crisp though.The AI functions are also quiet handy. Just played around till now.. so hopefully like the other aspects will get better with time.🤞",Reviewed in India on 17 May 2024
5.0 out of 5 starsAn amazing compact phone - The Exynos2400 is very good with no issues as with the previous chipsets.,5.0,"I have been using this phone for a month now and the Samsung Galaxy S24 is a very good phone. If you are someone who is looking to buy a phone in this price range then you probably have the Iphone 15, Pixel 8 series as an alternative option but I would say the Samsung phone experience is the best of the three unless you are into the Apple ecosystem or you want to buy and IPhone cuz it's an IPhone (It's just crazy that many people make decisions like that 😂).Jokes apart, I would say at this price this is probably the best phone in terms of the display, software experience and overall features. The performance is also very good, there are many people who are skeptical about the Exynos chips which is obviously unfair from Samsung to have two versions of the same phone but at least this time the chip is very good and almost as powerful as the SD 8 Gen 3. Yes it is 10-15% less powerful in the CPU department from benchmarks but honestly theses flagship chipsets are so powerful that 90% of the people are not even going to notice the slight difference. I tried playing COD on this phone at max possible settings for 1 hour and the phone was hot but not any more hot than any other phone would get. Yes it did drop the battery which I will get to later but I don't think raw performance is an issue with the Exynos chips this time as the Exynos chips is actually more powerful that the SD 8 Gen 3 in the GPU department. Now coming to the battery this is the only place I am a little disappointed with this phone like if you are a light user who only uses their phone for calls, messages, music on bluetooth you can make the phone work for an entire day but if you are a medium or a heavy user like if you play games, take pictures, videos etc you will definetly drain the battery before the end of the day. In my experience I am a fairly heavy user using bluetooth, mobile hotspot, playing a few light games I always need to charge the phone at around 5 pm. But this is a sacrifice you have to make if you are getting a small phone, now if you are thinking that the IPhone 15 is also a small phone but it has better battery life then that is because the IPhone 15 only has a 60hz display which isen't as smooth the 120hz on all the phones these days and also does not consume a lot of battery like a 120hz display would. I am not that big of a camera bluff so I won't talk about it just want to say that it is a good camera with sharp pictures with good looking colors and camera features (Checkout the images attached). The video is also very good.Overall, the Samsung Galaxy S24 emerges as an impressive smartphone, overshadowing debates about Exynos chip performance differences. Its overall performance, combined with its compact size, makes it a compelling choice for users seeking a premium smartphone experience.",Reviewed in India on 10 March 2024
4.0 out of 5 starsMy true feelings about this phone 😃,4.0,"Everything is on point as expected. But there are 1 or 2 things i want to share.1. Metal edges are little bit on sharp side so without cover it is difficult to use.2. If you live in warm area, it really gets hot and i found frame skips, but that was one time in 1 year of use.3. Battery backup : Screen on time is about 4-4:30 hrs, sometimes feels low sometimes okay. So take your powerbank with you everytime you go out.Other than these this phone is a beauty.That's my review after 1 year of usage. 🫡",Reviewed in India on 9 June 2025
5.0 out of 5 starsgood purchase,5.0,"Small and fast, perfect!",Reviewed in India on 30 June 2025
1.0 out of 5 starsDo not buy,1.0,"The model doesnt feel upgraded in any manner, the fingerprint sensor doesnt work well, face recognition is not supported for most applications, camera is not as great as the reviews are mentioned . Overall a very disappointing experience, will be returning it.Value for money:Waste of moneyCamera quality:Is disgustingly low.Charging speed:Phone is heating up in just minutes of using itFingerprint sensor:the fingerprint sensor doesnt work well, face recognition is not supported for most applications,Why did you pick this product vs others?:Biggest mistake relying on the youtube reviews",Reviewed in India on 30 June 2025
5.0 out of 5 starsFeel so comfortable,5.0,,Reviewed in India on 29 June 2025
5.0 out of 5 starsWat,5.0,Good,Reviewed in India on 27 June 2025
3.0 out of 5 starsThis is not worth it,3.0,"This phone is glitching on WhatsApp keyboard and when it gets hot it becomes like this, I am using it by putting hot water in it.I am not even able to talk on call, the heater gets switched off in a short time, I am having the biggest problem with this.",Reviewed in India on 28 June 2025
4.0 out of 5 starsProcessor,4.0,That is very good phone but if it comes with snapdragon processor will more better,Reviewed in India on 27 June 2025
4.0 out of 5 starsGood,4.0,Excellent,Reviewed in India on 30 June 2025
