Title,Rating,Review,Date
5.0 out of 5 starsiPhone XR to iPhone 15,5.0,"Just made the transition and here’s my POV on the first ~2 month of usePros- Battery Life is awesome, easily get about a day plus on this, so no Compliants- Screen fluidity is smooooooth! Understandable as I’m transitioning into an OLED from LCD in XR. The panel gets a solid peak brightness quotient so happy here- Screen brightness is good as compared to XR, 2200 nits, but I hardly go beyond 30% brightness to save some juice. Whilst outside I did crank it up and it’s spotless- Dynamic Island is fun, yet to use it to the fullest. Like the way it shows the ETA on delivery and Uber. Simple solution instead of you having to get into the app to check on the ETA- Weight, this phone is soo bloody light!! Understandable as XR was a brick, this is soo welcome- Camera is awesome, love the 48MP intervention, the portrait mode and cinematic mode does the job for me.- The Apple eco system, I enjoy seamless integration of my Watch, Mac, IPad Air and IPhone- Apples approach on Security!- Transferring data from my XR to 15 using the built in app is flawlessCons- The phone was over heating , there is a solution to this from Apple = back up the phone and then erase and reset the phone… including your eSIM settings.. once done set up the phone with the back up….. works like a charm- I still believe Apple should have thrown in a charging brick with such purchasesIndustry memes- USB C : honestly don’t give a jack for the reviews out there on this. It’s just a mode of charging for me and that’s it. I’m not going to be transferring any data so yea, 2.0 speed yadadada - thank you so much- Blue is not blue but white! Think people whining about this should go back to 13/14 or those ludicrous blues in Androids!! These are pestle shades people!!- Buying an Apple product to show off!! I mean, you even serious? You buy a product and then comment on why you should not buy one?- 60hz refresh rate for a 80k phone : save your jokes people, there are many of us who appreciate quality and security than how the screen refreshes. For non gamers like me, panel that is here is apt. I’ve seen a ton of folks buying 120hz phones and using it only to make calls, watch some videos and for textingTips of managing battery health- Switch off background app refresh for apps you don’t need back ground refresh- Avoid wireless charging as this heats your devise up- I charge my phone only using a power bank  not direct wired or wireless charging- Don’t let the battery go below 20%, keep it always between 95% and 20%- Switch off location services and allow only certain app that needs your location service- Switch on Charging Optimisation under the battery section- I don’t use vibrate mode for rings/incoming calls etc- My XR after 5 years of use has 86% battery health so I guess I know what I’m recommending aboveVendor Experience : Appario Retail Private Limited. 5/5, been a regular customer and they have never disappointed me even once. The purchase experience is breezy and quick, thanks team for the support and look forward to the collaboration in the future.….. watch out for this space. Will keep updating in case of significant change in experience",Reviewed in India on 7 October 2023
5.0 out of 5 starsStunning Pink – A Perfect Blend of Beauty & Performance,5.0,"I recently purchased the iPhone 15 in Pink from Amazon, and I couldn’t be happier with my decision! From the moment I unboxed it, the sleek design and soft pastel pink color caught my attention—it looks even better in person than in pictures. Phone is lightweight aluminum and glass build, making the phone feel premium yet comfortable to hold. The pink shade is elegant and subtle, perfect for anyone who loves a touch of sophistication. The 6.1-inch Super Retina XDR display is bright, sharp, and offers vibrant colors. Whether watching videos or scrolling through social media, the experience is smooth and immersive. The 48MP main camera and 12MP ultra-wide lens take incredible photos, even in low light. The details, sharpness, and colors are truly impressive. Portrait mode works beautifully, capturing professional-looking shots effortlessly. The front camera is equally good for selfies and FaceTime. Charging with the USB-C port is much more convenient than before, and fast charging is a plus. The delivery was fast and secure, with the iPhone arriving in perfect condition. The packaging was intact, and setting up the phone was a breeze. If you're looking for a stylish, powerful, and reliable phone, the iPhone 15 in Pink is a fantastic choice.",Reviewed in India on 21 March 2025
5.0 out of 5 starsiPhone 15 A solid upgrade and value for money,5.0,"DesignOne of the most noticeable changes to the iPhone 15 is its new design. The phone now has rounded edges, which makes it feel more comfortable in the hand. It also has a new camera bump that is less pronounced than the one on the iPhone 14.DisplayThe iPhone 15 has the same 6.1-inch Super Retina XDR display as the iPhone 14. However, the new display is brighter and has better contrast. It also supports HDR10 and Dolby Vision.PerformanceThe iPhone 15 is powered by the new A16 Bionic chip, which is the fastest mobile chip on the market. The A16 Bionic chip is up to 20% faster than the A15 Bionic chip in the iPhone 14.CameraThe iPhone 15 has a new 48-megapixel main camera. The new camera sensor is larger than the one in the iPhone 14, and it has better low-light performance. The iPhone 15 also has a new 12-megapixel ultrawide camera and a new 12-megapixel telephoto camera.Battery lifeThe iPhone 15 has the same battery life as the iPhone 14. This means that you can expect to get around a day of use on a single charge.  Overall  The iPhone 15 is a solid upgrade over the iPhone 14.ProsNew design with rounded edgesMore powerful A16 Bionic chip found in 14 proNew 48-megapixel main cameraBrighter display with upto 2000 nits brightnessUSB C can be used for anythingDynamic IslandConsNo 120hz displayNo Macro photography",Reviewed in India on 6 October 2023
"4.0 out of 5 stars⭐️⭐️⭐️⭐️⭐️ Sleek, Fast & Reliable – A Solid Upgrade",4.0,"The iPhone 15 is a noticeable step up from previous models. The design feels premium, and the new green color is subtle yet refreshing. Performance is smooth — apps launch instantly, and multitasking is seamless. The camera system is excellent, especially in low light, and photos come out crisp and vibrant. Battery life easily lasts a full day, even with heavy use. The display is bright and clear, perfect for watching videos or browsing. If you're upgrading from an older iPhone, the iPhone 15 feels like a worthy investment. It’s reliable, fast, and beautifully designed.",Reviewed in India on 26 May 2025
5.0 out of 5 starsProduct good delevery bad,5.0,Product was good but the delivery boy from blue dart company was very bad not good behaviour and rude behaviour,Reviewed in India on 17 June 2025
5.0 out of 5 starsGood phone,5.0,Switched to IOS from android. Many things are good and many thing are bad in it. Like in Android you can just download any video player and play downloaded video but in ios you have to  go to files and then select the video player every time you want to play. But camera is good and OS is very smooth. But in outdoor it becomes hot during day. Overall Good Purchase.,Reviewed in India on 7 June 2025
5.0 out of 5 starsiPhone 15 is fast charging,5.0,Good product and best Amazon delivery,Reviewed in India on 22 June 2025
4.0 out of 5 starsGooood phone for the price,4.0,Goood phone for the price if u into apple . Great cameras it’s nice to have a proper 2x zoom on normal variant and not loosing much quality and it also nice to have usb c and it charge okey speed . But whenever I play games it heats up (not soo hot but hot enough to know) fast that’s the only issue I faced using this phone,Reviewed in India on 24 May 2025
4.0 out of 5 starsNice,4.0,Good.But sometime it's heating. I haven't received any apple gift card.,Reviewed in India on 25 June 2025
4.0 out of 5 starsGood,4.0,Why did you pick this product vs others?:It's good.,Reviewed in India on 19 June 2025
